Product Title,Old Price,New Price,Total Offers
"Colorful X15 AT 2022 Gaming Laptop, 15.6"" 144Hz IPS FHD, Intel 12th Gen Laptop Core i9 12900H, NVIDIA GeForce RTX 3060 Laptop, 16GB Memory DDR4, 512GB SSD, Wi-Fi6, RGB Keyboard, Windows 11 Home","$ $2,399.00","$ 1,415.00",8 Offers
"ASUS ROG Strix Scar 17 (2022) Gaming Laptop, 17.3"" 360Hz IPS FHD Display, NVIDIA GeForce RTX 3070 Ti, Intel Core i9-12900H, 16GB DDR5, 1TB SSD, Per-Key RGB Keyboard, Windows 11, G733ZW-DS94",N/A,"$ 2,339.00",3 Offers
"2023 Newest ASUS TUF Gaming Laptop, 15.6"" FHD Display, Intel Core i7-12650H 10 Core, NVIDIA GeForce RTX 3070, 32GB DDR5 RAM, 2TB SSD, 144Hz Refresh Rate, Windows 11 Home, CEFESFY Accessories","$ $1,689.99","$ 1,669.99",10 Offers
"GIGABYTE AORUS 5 SE4 - 15.6""  FHD 1920x1080 144Hz - Intel Core i7-12700H - NVIDIA GeForce RTX 3070 Laptop GPU 8GB GDDR6 - 16GB DDR4 RAM - 512GB SSD - Win11 Home - Gaming Laptop (AORUS 5 SE4-73US213SH)","$ $1,399.95","$ 1,299.95",6 Offers
"GIGABYTE AERO 16 YE4 - 16"" 4K/UHD+ Samsung AMOLED - Intel Core i9-12900H - NVIDIA GeForce RTX 3080 Ti Laptop GPU - 32GB DDR4 - 2TB SSD - Win11 Pro - Creator & Gaming Laptop (AERO 16 YE4-A4US928HP)",N/A,"$ 4,433.13",
"MSI GE Series Raider GE77HX 12UGS-004 17.3"" 240 Hz Intel Core i7 12th Gen 12800HX (2.00GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Pro 64-bit Gaming Laptop",N/A,"$ 1,999.00",9 Offers
"ASUS ROG Strix Scar 15 (2022) Gaming Laptop, 15.6"" 240Hz IPS QHD Display, NVIDIA GeForce RTX 3080 Ti, Intel Core i9 12900H, 32GB DDR5, 1TB SSD, Per-Key RGB Keyboard, Windows 11 Pro, G533ZX-XS96","$ $3,299.99","$ 3,294.99",13 Offers
"Lenovo Legion 7 16IAX7 82TD0008US 16"" Gaming Notebook - WQXGA - 2560 x 1600 - Intel Core i9 12th Gen i9-12900HX Hexadeca-core (16 Core) 2.30 GHz - 32 GB Total RAM - 2 TB SSD - Storm Gray, Black",N/A,"$ 3,489.11",14 Offers
"MSI GL Series Pulse GL66 12UGOK-825 15.6"" 165 Hz Intel Core i9 12th Gen 12900H (2.50GHz) NVIDIA GeForce RTX 3070 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,844.99",11 Offers
"MSI GE Series Raider GE76 12UHS-255 17.3"" 240 Hz Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 32GB Memory 1TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 2,799.99",3 Offers
